AB2,1931,1932
AB3,1938,1938
ABC,1920,1926
AC,1923,1929
AG,1933,1933
ALT,1884,1884
ANA,1997,2004
ARI,1998,2021
ATH,1871,1876
ATL,1966,2021
BAL,1872,2021
BBB,1924,1948
BBS,1923,1934
BCA,1932,1938
BE,1935,1935
BEG,1938,1948
BLA,1901,1902
BLN,1892,1899
BLU,1884,1884
BOS,1871,2021
BRA,1872,1875
BRG,1890,1927
BRO,1884,1957
BSN,1876,1952
BTT,1914,1915
BUF,1879,1915
BWW,1890,1890
CAG,1920,1948
CAL,1965,1996
CBB,1933,1933
CBE,1943,1948
CBN,1924,1924
CBR,1939,1940
CC,1943,1945
CCB,1942,1942
CCU,1931,1931
CEG,1935,1935
CEL,1926,1926
CEN,1875,1875
CG,1933,1933
CHC,1876,2021
CHI,1871,1915
CHT,1927,1927
CHW,1901,2021
CIN,1876,2021
CKK,1891,1891
CLE,1871,2021
CLS,1932,1932
CLV,1879,1899
COB,1921,1921
COG,1920,1921
COL,1883,2021
COR,1884,1884
CPI,1884,1884
CRS,1934,1934
CS,1921,1921
CSE,1923,1929
CSW,1920,1930
CT,1937,1937
CTG,1928,1928
CTS,1922,1922
CUP,1932,1932
DET,1901,2021
DM,1920,1926
DS,1920,1931
DTN,1881,1888
DTS,1937,1937
DW,1932,1932
ECK,1872,1872
FLA,1993,2011
HAR,1874,1943
HBG,1924,1927
HG,1929,1948
HIL,1923,1932
HOU,1962,2021
IA,1937,1937
IAB,1939,1939
IC,1946,1948
ID,1933,1933
IND,1878,1914
JRC,1938,1942
KCA,1955,1967
KCC,1884,1889
KCM,1920,1948
KCN,1886,1886
KCP,1914,1915
KCR,1969,2021
KEK,1871,1871
LAA,1961,2021
LAD,1958,2021
LOU,1876,1899
LOW,1931,1931
LRG,1932,1932
LVB,1930,1932
MAN,1872,1872
MAR,1873,1873
MB,1923,1923
MGS,1932,1932
MIA,2012,2021
MIL,1884,2021
MIN,1961,2021
MLA,1901,1901
MLG,1878,1878
MLN,1953,1965
MON,1969,2004
MRM,1932,1932
MRS,1924,1948
NAT,1872,1872
NBY,1936,1948
ND,1934,1935
NE,1936,1948
NEG,1930,1934
NEW,1915,1915
NHV,1875,1875
NLG,1923,1929
NS,1926,1926
NWB,1932,1932
NYC,1935,1948
NYG,1883,1957
NYI,1890,1890
NYM,1962,2021
NYP,1883,1887
NYU,1871,1876
NYY,1903,2021
OAK,1968,2021
OLY,1871,1872
PBB,1890,1890
PBG,1934,1934
PBS,1914,1915
PC,1933,1938
PHA,1882,1954
PHI,1873,2021
PHK,1884,1884
PHQ,1890,1890
PIT,1882,2021
PK,1922,1922
PRO,1878,1885
PS,1934,1948
PTG,1928,1928
RES,1873,1873
RIC,1884,1884
ROC,1890,1890
ROK,1871,1871
SDP,1969,2021
SEA,1977,2021
SEN,1938,1938
SEP,1969,1969
SFG,1958,2021
SL2,1937,1937
SL3,1939,1939
SLB,1902,1953
SLG,1920,1921
SLM,1884,1915
SLR,1875,1875
SLS,1922,1931
SNS,1940,1941
STL,1875,2021
STP,1884,1884
SYR,1879,1890
TBD,1998,2007
TBR,2008,2021
TC,1939,1940
TC2,1939,1939
TEX,1972,2021
TOL,1884,1890
TOR,1977,2021
TRO,1871,1882
TT,1923,1923
WAP,1932,1932
WAS,1873,1891
WEG,1936,1937
WES,1875,1875
WHS,1884,1899
WIL,1884,1884
WMP,1925,1925
WOR,1880,1882
WP,1924,1924
WSA,1961,1971
WSH,1901,1960
WSN,2005,2021
